,,ELECTORES,ELECTORES,ELECTORES,VOTANTES,VOTANTES,VOTANTES,CAMBIEMOS,CAMBIEMOS,CAMBIEMOS,ALIANZA FRENTE PARA LA VICTORIA,UNIDAD CIUDADANA,UNIDAD CIUDADANA,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),1PAIS,1PAIS,VOTOS BLANCOS,VOTOS BLANCOS,VOTOS BLANCOS,FRENTE JUSTICIALISTA,FRENTE JUSTICIALISTA,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES
,,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,paso_2017,DN_2017,paso_2017,DN_2017,DN_2015
dpto_merger_str,PROV_REF_ID,,,,,,,,,,,,,,,,,,,,,,,
suipacha,2,9053,8889,9227,7856,7095,7441,3154,2531,3362,2848,2117,2250,709,707,650,765,440,333,604,720,95,168,133
alberti,2,8859,9300,8937,7308,7413,7199,3009,3032,3491,2701,968,925,732,586,374,916,544,458,1858,2033,75,122,99
punta indio,2,8723,9521,9521,6595,7141,7535,2629,3263,3719,2575,2285,2470,617,516,411,923,320,370,174,154,169,256,144
general alvear,2,7895,8476,8462,6753,6417,6714,2853,2911,3583,1908,1047,1346,476,713,634,1109,632,486,867,510,48,108,62
tapalque,2,8108,8359,8343,6417,6413,6496,2447,2190,2729,2494,2043,2340,838,1235,1100,834,322,334,177,129,40,89,63
florentino ameghino,2,7572,7986,7980,6692,6206,6736,2911,2669,3357,2896,402,688,457,988,789,222,194,156,1761,1549,107,135,93
salliquelo,2,7363,7768,7761,6103,5895,6068,2680,2731,3093,1839,1285,1482,570,490,374,858,992,875,200,116,35,71,48
hipolito yrigoyen,2,7173,8009,7998,5568,5812,6197,2372,2590,2893,2035,936,1154,508,430,307,774,450,458,1156,1180,47,90,70
monte hermoso,2,7909,7807,7807,6089,5287,5738,1905,1806,2159,2333,798,812,875,287,226,565,306,215,2047,2023,90,141,144
castelli,2,7007,7559,7548,5916,5312,5909,2191,2300,2693,2308,667,723,527,458,270,692,373,650,1792,1634,58,101,59
